Date,Open,High,Low,Close,Volume
21-Feb-17,2514,2525.9,2455.15,2465.35,2750556
22-Feb-17,2465.9,2470,2400.15,2411.5,2252748
23-Feb-17,2415,2493.25,2415,2481.8,2426676
27-Feb-17,2479.1,2502,2470.05,2489.85,1069946
28-Feb-17,2489.5,2490,2450,2466.25,1177414
1-Mar-17,2479.9,2501.9,2470,2479.55,565187
2-Mar-17,2486.7,2510,2470.05,2501.45,772471
3-Mar-17,2492,2499.7,2475.4,2494.05,506985
6-Mar-17,2480,2484,2454.55,2472.5,700347
7-Mar-17,2482.9,2505,2475.05,2499.8,755836
8-Mar-17,2502,2520,2492.2,2512.2,895755
9-Mar-17,2514.15,2524,2504.05,2519.75,429234
10-Mar-17,2519.6,2549.55,2513.95,2542.25,585710
14-Mar-17,2556.8,2587.15,2551.05,2567.5,1701147
15-Mar-17,2572,2572.15,2493.85,2498.3,1511248
16-Mar-17,2506,2527,2506,2520.9,785909
17-Mar-17,2546,2546,2509.75,2525.75,1296576
20-Mar-17,2525.95,2525.95,2466,2480,1743770
21-Mar-17,2482,2492,2465,2486.7,1686850
22-Mar-17,2480.15,2496,2469.95,2478.95,944358
23-Mar-17,2482,2485.05,2447.2,2460.35,1310319
24-Mar-17,2469.8,2469.8,2423.3,2427.2,2549907
27-Mar-17,2426.95,2440,2406,2412.05,1090635
28-Mar-17,2410,2443.4,2410,2429.95,576579
29-Mar-17,2436,2450.8,2425.6,2444.6,858882
30-Mar-17,2444.9,2465,2435,2441,1493043
31-Mar-17,2438.4,2440.85,2415,2431.8,933522
3-Apr-17,2435,2435,2408.2,2411.7,598444
5-Apr-17,2419.9,2419.9,2395,2401.25,1452784
6-Apr-17,2400,2410,2392.55,2400.05,860352
7-Apr-17,2394.9,2433.25,2392.15,2429.05,1138506
10-Apr-17,2432,2449,2405,2422.25,1271632
11-Apr-17,2417.3,2443.1,2406,2419.3,778892
12-Apr-17,2422.5,2428,2383,2393.25,525269
13-Apr-17,2400,2409,2321.05,2328.65,1250236
17-Apr-17,2330.4,2332.9,2295.15,2314.85,1135441
18-Apr-17,2330,2334.2,2302.05,2308.8,865310
19-Apr-17,2263.5,2348.7,2252.8,2299.15,2813406
20-Apr-17,2305.3,2332,2290.95,2325.5,634421
21-Apr-17,2329.1,2335.65,2301,2310.8,580577
24-Apr-17,2300,2339.65,2282.5,2328.1,1000010
25-Apr-17,2328,2344.45,2302.7,2311.5,1574355
26-Apr-17,2340,2343.95,2303.05,2310.35,1093719
27-Apr-17,2306.05,2327.8,2277.65,2302.65,2886593
28-Apr-17,2294,2298.75,2268,2273.15,1270255
2-May-17,2294,2302,2280,2289.9,1191348
3-May-17,2295,2345,2268.5,2337.3,1757203
4-May-17,2349.95,2350,2308.8,2330.1,1354104
5-May-17,2308,2332.5,2302.5,2320.5,841237
8-May-17,2321,2347.4,2317.7,2342.45,535891
9-May-17,2343.95,2361,2332.55,2352.55,895135
10-May-17,2355,2356.15,2316,2332.45,603194
11-May-17,2347.3,2360,2322.75,2349.45,1035651
12-May-17,2343.3,2369.9,2320.05,2360.65,1157223
15-May-17,2375.1,2377.95,2341.6,2365.1,908802
16-May-17,2380,2435,2373.45,2429.15,1800513
17-May-17,2433.5,2460.75,2423,2455.35,1438099
18-May-17,2450,2572,2442.25,2536.2,2569297
19-May-17,2536.2,2540.55,2486,2507.15,893022
22-May-17,2510,2553.75,2510,2531.35,831970
23-May-17,2533.2,2564.15,2514,2521.7,1374298
24-May-17,2534.8,2570,2529.65,2559.15,1267274
25-May-17,2577,2637.55,2568,2624.6,2047047
26-May-17,2625,2626.85,2564.65,2578.25,681275
29-May-17,2579,2596.5,2564,2572.85,874645
