"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","09-Aug-2021","       3309.80","       3323.90","       3337.00","       3310.00","       3321.00","       3322.70","       3323.80","    1510489","          5020566711.25","      96243","     969058","         64.16"
"TCS","EQ","10-Aug-2021","       3322.70","       3315.60","       3349.90","       3315.60","       3330.50","       3333.90","       3334.47","    2040777","          6804914788.20","     100513","    1237530","         60.64"
"TCS","EQ","11-Aug-2021","       3333.90","       3350.00","       3360.00","       3327.10","       3348.00","       3344.20","       3344.63","    1929707","          6454161673.50","     104272","    1138089","         58.98"
"TCS","EQ","12-Aug-2021","       3344.20","       3326.00","       3368.00","       3326.00","       3347.00","       3351.75","       3353.87","    1310205","          4394255743.65","      84190","     824872","         62.96"
"TCS","EQ","13-Aug-2021","       3351.75","       3360.75","       3480.00","       3357.50","       3456.05","       3463.40","       3438.94","    4363584","         15006082710.35","     217264","    2132472","         48.87"
"TCS","EQ","16-Aug-2021","       3463.40","       3460.00","       3494.35","       3436.50","       3464.75","       3472.95","       3470.40","    2083489","          7230549749.25","     120736","    1177803","         56.53"
"TCS","EQ","17-Aug-2021","       3472.95","       3482.10","       3560.80","       3463.00","       3548.00","       3553.05","       3523.43","    4336019","         15277648941.65","     189016","    2704831","         62.38"
"TCS","EQ","18-Aug-2021","       3553.05","       3573.85","       3595.00","       3536.60","       3559.80","       3560.55","       3564.21","    2631309","          9378550368.20","     190233","    1723543","         65.50"
"TCS","EQ","20-Aug-2021","       3560.55","       3506.00","       3575.00","       3500.00","       3551.60","       3559.50","       3553.61","    2836148","         10078573269.05","     146932","    1848299","         65.17"
"TCS","EQ","23-Aug-2021","       3559.50","       3580.00","       3673.00","       3561.90","       3635.00","       3637.40","       3636.99","    3744176","         13617518913.15","     182578","    1842890","         49.22"
"TCS","EQ","24-Aug-2021","       3637.40","       3657.00","       3667.35","       3594.40","       3615.05","       3613.20","       3626.54","    2511141","          9106741534.10","     140873","    1556733","         61.99"
"TCS","EQ","25-Aug-2021","       3613.20","       3610.00","       3697.75","       3607.05","       3665.00","       3659.00","       3667.15","    2123263","          7786317794.00","     132939","     995370","         46.88"
"TCS","EQ","26-Aug-2021","       3659.00","       3660.00","       3687.60","       3647.90","       3655.00","       3671.85","       3666.49","    1902533","          6975627265.60","     111272","    1154816","         60.70"
"TCS","EQ","27-Aug-2021","       3671.85","       3666.00","       3729.50","       3651.10","       3715.00","       3720.15","       3704.47","    3944728","         14613115000.85","     146958","    2524643","         64.00"
"TCS","EQ","30-Aug-2021","       3720.15","       3715.00","       3740.35","       3687.60","       3709.00","       3701.30","       3717.61","    2033114","          7558326821.90","     120886","    1349616","         66.38"
"TCS","EQ","31-Aug-2021","       3701.30","       3709.40","       3804.10","       3703.45","       3797.90","       3786.45","       3763.43","    3207480","         12071111288.25","     118247","    1862272","         58.06"
"TCS","EQ","01-Sep-2021","       3786.45","       3796.00","       3816.70","       3707.00","       3715.00","       3714.95","       3742.07","    2643336","          9891548398.70","     159880","    1863636","         70.50"
"TCS","EQ","02-Sep-2021","       3714.95","       3734.00","       3859.15","       3722.00","       3827.90","       3836.75","       3798.12","    3403717","         12927723346.45","     147951","    2036113","         59.82"
"TCS","EQ","03-Sep-2021","       3836.75","       3825.00","       3856.90","       3804.55","       3835.00","       3842.05","       3830.31","    1746812","          6690825623.35","     110739","     916975","         52.49"
"TCS","EQ","06-Sep-2021","       3842.05","       3849.70","       3877.60","       3814.00","       3847.90","       3852.00","       3842.72","    1723693","          6623670538.95","     111169","     978295","         56.76"
"TCS","EQ","07-Sep-2021","       3852.00","       3864.00","       3869.95","       3808.25","       3823.85","       3815.90","       3834.63","    1585039","          6078043781.70","      97123","    1010493","         63.75"
"TCS","EQ","08-Sep-2021","       3815.90","       3810.00","       3815.00","       3756.00","       3777.00","       3774.15","       3798.07","    4147175","         15751252747.10","     122519","    3355232","         80.90"
"TCS","EQ","09-Sep-2021","       3774.15","       3789.70","       3808.70","       3765.00","       3793.00","       3791.40","       3787.10","    1441148","          5457774387.45","     124377","     720189","         49.97"
"TCS","EQ","13-Sep-2021","       3791.40","       3767.00","       3852.40","       3767.00","       3841.50","       3845.35","       3828.30","    1691473","          6475463794.90","     109836","     789494","         46.67"
"TCS","EQ","14-Sep-2021","       3845.35","       3849.95","       3896.50","       3825.00","       3880.10","       3885.90","       3873.73","    1991188","          7713316318.10","     104679","    1273237","         63.94"
"TCS","EQ","15-Sep-2021","       3885.90","       3882.10","       3980.00","       3866.00","       3950.00","       3954.55","       3929.40","    2461369","          9671698399.65","     120015","    1222171","         49.65"
"TCS","EQ","16-Sep-2021","       3954.55","       3930.00","       3981.75","       3892.10","       3903.05","       3903.30","       3931.95","    2946666","         11586139448.20","     123851","    2125781","         72.14"
"TCS","EQ","17-Sep-2021","       3903.30","       3920.00","       3945.00","       3805.00","       3826.55","       3827.85","       3851.08","    6477148","         24944046353.10","     155142","    4501470","         69.50"
"TCS","EQ","20-Sep-2021","       3827.85","       3809.00","       3871.00","       3807.85","       3820.05","       3823.50","       3837.22","    2002008","          7682147330.75","     120832","    1112498","         55.57"
"TCS","EQ","21-Sep-2021","       3823.50","       3858.00","       3871.55","       3821.65","       3861.95","       3862.95","       3850.74","    1568129","          6038455605.45","      99059","     851956","         54.33"
