"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TCS","EQ","07-Mar-2022","       3524.35","       3450.00","       3548.00","       3431.55","       3481.10","       3484.90","       3491.46","    3054130","         10663373904.35","     240636"
"TCS","EQ","08-Mar-2022","       3484.90","       3460.00","       3609.00","       3460.00","       3594.00","       3599.95","       3570.91","    3300992","         11787552347.95","     182907"
"TCS","EQ","09-Mar-2022","       3599.95","       3605.00","       3654.00","       3597.05","       3640.70","       3632.60","       3631.79","    2719654","          9877225026.50","     171411"
"TCS","EQ","10-Mar-2022","       3632.60","       3684.00","       3684.00","       3615.00","       3621.05","       3620.95","       3639.93","    2005441","          7299662362.80","     129608"
"TCS","EQ","11-Mar-2022","       3620.95","       3603.25","       3639.85","       3592.85","       3603.00","       3599.15","       3615.45","    1623423","          5869407353.85","     119798"
"TCS","EQ","14-Mar-2022","       3599.15","       3580.00","       3648.35","       3580.00","       3645.00","       3643.00","       3620.43","    1765688","          6392547278.65","     119156"
"TCS","EQ","15-Mar-2022","       3643.00","       3659.00","       3659.00","       3585.40","       3598.00","       3593.90","       3627.90","    3651133","         13245962358.70","     154118"
"TCS","EQ","16-Mar-2022","       3593.90","       3640.50","       3668.00","       3616.25","       3657.55","       3655.90","       3640.94","    3090475","         11252241518.05","      94898"
"TCS","EQ","17-Mar-2022","       3655.90","       3696.60","       3710.00","       3660.30","       3674.95","       3672.75","       3685.79","    3600452","         13270520963.00","     139747"
"TCS","EQ","21-Mar-2022","       3672.75","       3696.00","       3713.95","       3615.00","       3620.00","       3626.70","       3650.28","    2413831","          8811169624.50","     131933"
"TCS","EQ","22-Mar-2022","       3626.70","       3640.00","       3711.00","       3625.00","       3704.95","       3700.95","       3674.13","    2907611","         10682934318.30","     124599"
"TCS","EQ","23-Mar-2022","       3700.95","       3708.00","       3729.80","       3690.00","       3710.00","       3712.40","       3708.22","    1596195","          5919042115.35","      82816"
"TCS","EQ","24-Mar-2022","       3712.40","       3700.00","       3758.20","       3695.00","       3740.50","       3749.85","       3741.33","    1879046","          7030133316.70","      86810"
"TCS","EQ","25-Mar-2022","       3749.85","       3759.90","       3779.50","       3672.00","       3710.00","       3707.45","       3716.53","    1690133","          6281432591.55","     101622"
"TCS","EQ","28-Mar-2022","       3707.45","       3695.00","       3713.00","       3661.20","       3700.00","       3707.70","       3689.86","    1760990","          6497804966.20","     119630"
"TCS","EQ","29-Mar-2022","       3707.70","       3694.75","       3722.00","       3691.00","       3701.00","       3705.35","       3707.08","    2689063","          9968577738.75","     166424"
